artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_genre,song_description
Chris Brown,Indigo (Extended),Under The Influence,96,184613,True,0.9576891792828556,0.193284780916953,0.5428052859471494,-0.39677854522524686,-0.7560631906404826,-0.5041106911590788,-0.5702049553773508,-0.6328241943058012,-0.1719817058012958,dance,"A calm, slow-paced dance song with a sad mood."
Sam Smith;Kim Petras,Unholy (feat. Kim Petras),Unholy (feat. Kim Petras),100,156943,False,0.8482056365452563,-0.6734144540918703,0.17575877623291322,0.016529245951232337,-0.9079333681817326,-0.5040999337648947,0.2754843060850152,-0.9105377707903628,0.29932810082667793,dance,"A calm, slow-paced dance song with a sad mood."
Katy Perry,Harleys In Hawaii,Harleys In Hawaii,73,185815,False,0.8943039703295086,0.4596556467224173,0.4079962211658644,0.4478069410919063,-0.39067256546697976,-0.5040940866527406,-0.4598976604039987,0.9524574714602376,0.5986460210526529,dance,"A calm, slow-paced dance song with a happy mood."
Sean Paul;Dua Lipa,Mad Love The Prequel,No Lie,83,221176,False,1.0095498047901394,0.9566162172549996,1.0730940407726466,0.3059392782166846,-0.8068870718374552,-0.5041145030885494,-0.03967939383884804,-0.04268284427610778,-0.6707448333192702,dance,"A high-energy, slow-paced dance song with a sad mood."
The Chainsmokers;Halsey,Closer,Closer,84,244960,False,1.0441235551283288,-0.4666788567503159,0.5288869459254828,-0.48095335853121174,0.29800606140324354,-0.5041145030885494,-0.5386885853849644,0.7210294910564365,-0.9052488987587672,dance,"A calm, slow-paced dance song with a happy mood."
DJ Snake;Justin Bieber,Encore,Let Me Love You,84,205946,False,0.4736566745482066,0.2966525795877302,0.5742209677103396,-0.47054972992036215,-0.6874960609782944,-0.5040295422876363,-0.4126231054154192,-1.1998227462951143,-0.7391946686367452,dance,"A calm, slow-paced dance song with a sad mood."
Troye Sivan,Strawberries & Cigarettes,Strawberries & Cigarettes,82,201538,False,0.06453396221296706,-0.41499495741492726,-0.0829235147412045,-0.013735855462148365,-0.4598411611788362,-0.5041145030885494,-0.7225340770072178,-0.8642521747096025,-1.2755518333880498,dance,"A calm, slow-paced dance song with a sad mood."
Dua Lipa;DaBaby,Future Nostalgia,Levitating (feat. DaBaby),85,203064,False,0.7790581358688777,0.7300021970921419,0.8891731190577666,-0.2322120562899897,-0.920473935317317,-0.5041145030885494,-0.7677075406629715,1.7007412747658621,-0.6394887438005208,dance,"A high-energy, slow-paced dance song with a happy mood."
David Guetta;Bebe Rexha,I'm Good (Blue),I'm Good (Blue),98,175238,True,-0.03342499707856852,1.286598036088634,0.911840129950195,-0.47622443643537105,-0.935510586559025,-0.5040916638162127,0.8270207809517754,-0.6559669923461813,0.19655327499181385,dance,"A high-energy, slow-paced dance song with a sad mood."
Ariana Grande,"thank u, next",7 rings,84,178626,True,1.216992306819275,-1.2896455615522722,-0.4917250445204403,2.3582914678115583,0.8333108456080459,-0.5041145030885494,-0.6589760641892388,-0.5672529331913908,0.5971115705533335,dance,"A calm, slow-paced dance song with a sad mood."
Lauv,I met you when I was 18. (the playlist),I Like Me Better,83,197436,False,1.0671727220204548,-0.5422168634712684,0.12684575272819912,1.592206088285361,0.6618930214525757,-0.5041062654443544,-0.5754576837094152,-0.21239669657222887,-1.0066560621920635,dance,"A calm, slow-paced dance song with a sad mood."
Charlie Puth,Voicenotes,Attention,83,208786,False,1.1997054316501803,-0.11284293053111746,0.7303052093818865,-0.28801333702091025,-0.6192296643409404,-0.504039233633748,-0.4178758337474836,1.2455995799717194,-0.7365927743118118,dance,"A calm, slow-paced dance song with a happy mood."
Ariana Grande,Positions,positions,85,172324,True,0.9807383461749817,0.638561452114147,0.6935210250389106,0.029770227819586347,0.46040189481368937,-0.5041145030885494,-0.6327124225289169,0.8020292841977671,0.7294412473098743,dance,"A high-energy, slow-paced dance song with a happy mood."
Doja Cat,Planet Her,Woman,88,172626,True,1.4820577260787253,0.487485438672242,0.8120257486519575,0.007071401759550885,-0.6799777353574404,-0.49461698389902226,-0.5071722153925782,1.5695987525370412,-0.47200013603783014,dance,"A calm, slow-paced dance song with a happy mood."
Calvin Harris;Dua Lipa,One Kiss (with Dua Lipa),One Kiss (with Dua Lipa),89,214846,False,1.291902099218685,0.8771025259697863,0.997935004655647,0.2397343688749144,-0.8357574422215346,-0.5040437562619335,-0.6941693440140703,0.4548873135920648,0.061588346290789193,dance,"A high-energy, slow-paced dance song with a sad mood."
Marshmello;Anne-Marie,FRIENDS,FRIENDS,79,202620,True,0.3411239649184811,0.9486648481264782,1.1681364197777413,-0.3239531449492997,-0.33052596050014804,-0.5041145030885494,-0.44939220373986993,0.23117359920172378,-0.9029472230097882,dance,"A high-energy, slow-paced dance song with a sad mood."
Shawn Mendes;Camila Cabello,Señorita,Señorita,81,190960,False,1.1075087640816756,-0.4030679037221453,0.44140023721786426,-0.5291883639087871,-0.8357574422215346,-0.5041145030885494,-0.6253586028640268,1.0643143286554084,-0.17348279868106503,dance,"A calm, slow-paced dance song with a happy mood."
Charlie Puth;Jung Kook;BTS,Left and Right (Feat. Jung Kook of BTS),Left and Right (Feat. Jung Kook of BTS),92,154486,False,1.8105083542915232,-0.19633230638059135,0.6682691795710297,-0.4941943403995658,0.9145087623132688,-0.5040718611656577,-0.6484706075251101,0.9447432054467776,-0.7035020157177888,dance,"A calm, slow-paced dance song with a happy mood."
Charlie Puth;Selena Gomez,Nine Track Mind,We Don't Talk Anymore (feat. Selena Gomez),82,217706,False,0.9288777206676978,-0.31162715874415053,0.04094971145162805,0.46672262947526916,0.920523422809952,-0.5041145030885494,-0.1815030588045864,-0.47082460802314036,-0.7382272976697829,dance,"A calm, slow-paced dance song with a sad mood."
Akon;Hamsika Iyer,Ra-One,Chammak Challo,71,227091,False,1.0095498047901394,0.9446891635622175,0.7923412391927434,-0.4904112027228931,-0.7377184761255988,-0.5040913407713423,-0.606448780868595,1.7817410679071926,0.39356337605663194,dance,"A high-energy, slow-paced dance song with a happy mood."
Dua Lipa,Future Nostalgia,Levitating,84,203807,False,0.738722093807657,0.9645675863835209,1.189212763239122,-0.0884528245764317,-0.7783174344782103,-0.5041145030885494,-0.002910295514397316,1.696884141759132,-0.6382545118771552,dance,"A high-energy, slow-paced dance song with a happy mood."
Selena Gomez;Marshmello,Wolves,Wolves,80,197993,False,0.9058285537755717,0.6465128212426684,0.7247378733732199,-0.3769170724227158,-0.5741197106158166,-0.5041145030885494,-0.050184850502976816,-0.6482527263327212,0.09471246250436237,dance,"A high-energy, slow-paced dance song with a sad mood."
Gym Class Heroes;Adam Levine,The Papercut Chronicles II,Stereo Hearts (feat. Adam Levine),82,210960,False,0.456369799379112,0.6107316601643225,0.9873968329249566,0.12245710089806454,-0.8510948264880767,-0.5041145030885494,0.28073703441707953,1.2417424469649894,-1.0727041489019078,dance,"A high-energy, slow-paced dance song with a happy mood."
Sia,This Is Acting,Cheap Thrills,78,211666,False,0.3526485483645442,0.2250902574310383,0.5270974450655543,0.19244514791650713,-0.8050826736884503,-0.49949496144194266,-0.6453189705258715,0.9948859345342679,-1.0731711555756136,dance,"A calm, slow-paced dance song with a happy mood."
Sia,This Is Acting,Unstoppable,81,217746,False,-0.5693181273205017,0.5471207071361519,0.6800003518750057,-0.06386242967806002,-0.6102076735959155,-0.5029095457219869,-0.5912158687056083,-0.8256808446423022,1.7229645879997726,dance,"A calm, slow-paced dance song with a sad mood."
Spice;Shaggy;Sean Paul,Go Down Deh (feat. Shaggy and Sean Paul),Go Down Deh (feat. Shaggy and Sean Paul),74,154666,False,1.4417216840175044,0.6306100829856257,0.7523757199876722,0.22081868049155148,-0.5861490316091829,-0.5039885155890964,-0.1394812321480713,0.23117359920172378,-1.0718368507935963,dance,"A high-energy, slow-paced dance song with a sad mood."
Avicii,The Days / Nights,The Nights,86,176658,False,-0.22934291566164097,0.7697590427347485,0.5887358080186491,-0.391103838710238,-0.8971069792877029,-0.5041145030885494,0.18618792443992055,0.6940295600093264,0.1279366515765873,dance,"A high-energy, slow-paced dance song with a happy mood."
Ellie Goulding,Delirium (Deluxe),"Love Me Like You Do - From ""Fifty Shades Of Grey""",79,252534,False,-1.7563502222649985,-0.1406727224809421,0.32070834588712677,-0.34286883333266266,-0.20421809006980138,-0.5041145030885494,-0.4651503887360631,-0.7678238495413519,2.258621242740518,dance,"A calm, slow-paced dance song with a sad mood."
Shawn Mendes,Illuminate (Deluxe),There's Nothing Holdin' Me Back,86,199440,False,1.7240739784460501,0.6822939823210139,0.8342950926866242,-0.2766639239908925,0.19575683295962965,-0.5041145030885494,-0.7125538931762956,1.909026457129283,-0.004993462331861587,dance,"A high-energy, slow-paced dance song with a happy mood."
benny blanco;BTS;Snoop Dogg,Bad Decisions (with BTS & Snoop Dogg),Bad Decisions (with BTS & Snoop Dogg),87,172714,False,1.1247956392507703,0.8731268414055257,0.9868003326383139,0.10259562809553346,-0.8913930518158538,-0.5041145030885494,0.2649788494208864,1.8550265950350626,-0.07004082045519301,dance,"A high-energy, slow-paced dance song with a happy mood."
Ariana Grande;Justin Bieber,Stuck with U,Stuck with U (with Justin Bieber),83,228482,False,0.17401750495056637,-0.7608795145056045,0.31832234474055526,-0.4052906049977602,-0.27639401602999947,-0.5041145030885494,0.8848007926044836,0.24274499822191387,1.888618526687189,dance,"A calm, slow-paced dance song with a sad mood."
AMARIA BB,Slow Motion,Slow Motion,71,166000,True,0.9576891792828556,-0.6455846621420457,-0.20103057149648948,2.0461826094860704,0.7821862313862389,-0.5024023652754713,-0.6852397058495607,0.042174081871952554,-1.1143344581008394,dance,"A calm, slow-paced dance song with a sad mood."
Doja Cat,Planet Her,Need to Know,84,210560,True,0.5600910503936798,-0.1287456687881601,0.347948525643817,-0.1319589078581664,-0.03280026591433096,-0.5041145030885494,-0.6353387866949491,-1.0802516230864836,0.2633018717122171,dance,"A calm, slow-paced dance song with a sad mood."
JONY,Список твоих мыслей,Love Your Voice,71,150329,False,0.23740271390391335,0.7498806199134451,0.569250131988316,0.10354141251470163,0.8483474968497539,-0.5041035195629561,-0.5019194870605138,-1.0146803619720735,-1.0360774826355397,dance,"A high-energy, slow-paced dance song with a sad mood."
Troye Sivan,Angel Baby,Angel Baby,82,220779,False,-0.044949580524631605,-0.3275298970011927,0.36465053366981703,-0.46203767014784886,-0.9034223728092202,-0.5041145030885494,-0.39686492041922605,-0.5248244701173604,-1.6561956300779648,dance,"A calm, slow-paced dance song with a sad mood."
